sentence,frequency
২৩ জুলাই ১৪ দিনের কঠোর বিধিনিষেধ হয়,2
"এনবিআর সূত্রে গেছে, ভ্যাট আইনে মাসের ১৫ তারিখের ভ্যাট রিটার্ন জমা দেওয়ার বিধান আছে",2
"একক গ্রুপ—যেভাবেই কেন, প্যাকেজের আওতায় গ্রাহক ৫০ লাখ টাকার ঋণ পাবেন না",2
এপ্রিলে আগের বছরের তুলনায় বেড়েছিল ৩ শতাংশ,2
২০২০ সালের আগস্টে এক বৈঠকে ফেড ঘোষণা করেছিল সর্বাধিক কর্মসংস্থান নিশ্চিত পারলে মুদ্রাস্ফীতি ২ শতাংশের ওপরে পারে,2
কুটিরশিল্প পাবে সর্বোচ্চ ১০ লাখ টাকা ঋণ,2
গ্রাহক পর্যায়ে প্যাকেজের ৪০ শতাংশ ট্রেডিং খাতে ৬০ শতাংশ উৎপাদন সেবা খাতে বিতরণ হবে,2
"এনবিআর সূত্রে গেছে, ২০১৭ সালে ই-পেমেন্ট ব্যবস্থা হয়",2
মূলধন ৫ ডলার,2
অর্থের পরিমাণ জিডিপির শূন্য দশমিক ২ শতাংশ,2
৫০০ টাকা হচ্ছে,2
ন্যূনতম জীবনধারণের প্রয়োজন ১ ৮৬২ টাকা,2
মিলিয়ে ১৫ টাকা সাদা হয়েছে,2
"পেট্রোলিয়ামজাত পদার্থের খুচরা মূল্য নির্ধারণে প্রবিধানমালার খসড়া তৈরি ২০১২ সালে, চূড়ান্ত হয়নি",2
চলতি অর্থবছরের ৯ মাসে মিলিয়ে ১০ ৩৪ করদাতা কালোটাকা সাদা করেছেন,2
বাজেটে ক্ষুদ্র মাঝারি (এসএমই) খাত নারীর উন্নয়নে এসএমই খাতের নারী উদ্যোক্তাদের প্রণোদনা হিসেবে ব্যবসার বার্ষিক লেনদেনের (টার্নওভার) ৭০ লাখ টাকা করমুক্ত রাখার প্রস্তাব হয়েছে,2
মিলিয়ে এনবিআর রাজস্ব পেয়েছে ১ ৩৮৬ টাকা,2
"গত ২৩ জুন সোনার দাম ভরিতে ৫ ৮২৫ টাকা, গত ২৪ জুলাই ২ ৯১৬ টাকা ৬ আগস্ট ৪ ৪৩৩ টাকা বৃদ্ধি জুয়েলার্স সমিতি",2
বয়স্ক ভাতা বাবদ অতিরিক্ত ৪৮১ টাকা বরাদ্দ রাখার প্রস্তাব অর্থমন্ত্রী,2
বর্তমানে ১১২ উপজেলার শতভাগ বয়স্ক মানুষ ভাতা পাচ্ছেন,2
"গতকাল কেন্দ্রীয় ব্যাংক জানিয়েছিল, ১৪ ২১ এপ্রিল ব্যাংক শাখা বন্ধ থাকবে",2
টিসিবির ট্রাক সেলে লিটার সয়াবিন তেলের দাম ১০০ টাকা অনলাইনে লিটার সয়াবিন তেলের দাম ১০৮ টাকা হচ্ছে,2
তহবিল ৪ শতাংশ সুদে ঋণ পাবেন উদ্যোক্তারা,2
জনস্বার্থে ২০১৬ সালে রিট আবেদনটি করেছিল ক্যাব,2
১০ টাকার আবেদনের বিপরীতে ৬০০ টাকা সমমূল্যের ৬০টি শেয়ার বরাদ্দ পেয়েছেন,2
কমিটি অজুহাত দেখিয়ে ৪৩ মাস দায়িত্ব পালন করে,2
সাউথ বাংলা ব্যাংকের আইপিওর শেয়ার বরাদ্দ পেয়েছেন ২ লাখ ৩৫ ৩৭৫ বিনিয়োগকারী,2
"প্রতিষ্ঠান জানিয়েছে, টিকা বিশ্লেষণে ৯০ শতাংশ কার্যকারিতার বিষয়টি নিশ্চিত হওয়া গেছে",2
ডিএসইতে গত দিনের বড় দরপতনে ডিএসইএক্স কমেছে ১৬৬ পয়েন্ট ৩ শতাংশ,2
গতকাল এক দিনে ডিএসইএক্স সূচকটি কমে ৮৫ পয়েন্ট দেড় শতাংশের কাছাকাছি,2
৪৪ কার্যদিবসের ব্যবধানে ডিএসইতে সূচক সাড়ে ৯ শতাংশ লেনদেন ৭০ শতাংশের কাছাকাছি কমে গেছে,2
অপর শেয়ারবাজার চট্টগ্রাম স্টক এক্সচেঞ্জের (সিএসই) সার্বিক সূচকটি গতকাল এক দিনে কমেছে ২৬৩ পয়েন্ট ১ দশমিক ৬৭ শতাংশ,2
১২ বছর দেশের শেয়ারবাজারে ব্যাংক তালিকাভুক্ত হলো,2
এনআরবিসি ব্যাংক গণপ্রস্তাব আইপিওতে ১২ শেয়ার ছেড়ে ১২০ টাকা সংগ্রহ করেছে,2
আইপিওতে প্রতিটি শেয়ার বিনিয়োগকারীদের ১০ টাকা অভিহিত মূল্য ফেসভ্যালুতে বিক্রি হয়,2
"ব্যাংকটি জানিয়েছে, আইপিওর সংগৃহীত অর্থের ১১০ টাকা সরকারি সিকিউরিটিজে বিনিয়োগ হবে",2
৬ টাকা বিনিয়োগ শেয়ারবাজারে,2
"হয়েছে, তালিকাভুক্ত সিকিউরিটিজের তদন্তসংক্রান্ত ১২ জানুয়ারির নির্দেশনাটির কার্যকারিতা পরবর্তী নির্দেশ পিছিয়ে হলো",2
৩০ নভেম্বর বার্ষিক আয়কর বিবরণী জমা যাবে,2
ঢাকা চট্টগ্রামে সংগঠনের ৩৫ পরিচালক পদের লড়েছেন নির্বাচনকেন্দ্রিক জোট সম্মিলিত পরিষদ ফোরামের ৭০ প্রার্থী,2
৪০ টাকা তোলা এটিএম থেকে,2
সবকিছু থাকলে ২০ এপ্রিল বছরের কমিটি বিজিএমইএর দায়িত্ব নেবে,2
গত ১০ বছরে জাতীয় রাজস্ব বোর্ড (এনবিআর) আয়োজিত কর মেলা করদাতাদের জনপ্রিয় হয়ে গেছে,2
বিজয়ী পরিচালকেরা ১৬ এপ্রিল সভাপতি সাতজন সহসভাপতি নির্বাচিত করবেন,2
করোনাভাইরাসের গত ১ সেপ্টেম্বর রিজার্ভ প্রথমবারের ৩ ৯০০ ডলার অতিক্রম করে,2
বছরের ১০ এপ্রিল রিজার্ভ ২ ডলার ছাড়িয়ে যায়,2
অন্যদিকে এম সামছুদ্দিনের নেতৃত্বাধীন ফোরাম ১১ পরিচালক পদে বিজয়ী হয়েছে,2
২৪ ফেব্রুয়ারি চেয়ারম্যানের দায়িত্ব নেন স্ত্রী মনোয়ারা সিকদার,2
খেলাপি ঋণের ৪২ ২৯২ টাকা রাষ্ট্রমালিকানাধীন ব্যাংকগুলোর,2
২৬ ডিসেম্বরের পর্ষদ সভায় ঋণ অনুমোদন বিতরণ ঠিকই অব্যাহত আছে,2
খেলাপি ঋণের পরিমাণ ৮৮ ৭৩৪ টাকা,2
হংকং সাংহাই স্টক এক্সচেঞ্জে ৩৪ দশমিক ৪ বিলিয়ন ডলারের গণপ্রস্তাব (আইপিও) আসার কথা অ্যান্ট ফাইন্যান্সিয়ালের,2
রকেটের গ্রাহক ২ ৪০ লাখ,2
৮ ব্যাংকের ১ ৩০০ এটিএম বুথ বিকাশের টাকা তোলা যায়,2
১০০ টাকার শেয়ারের আবেদন জমা পড়ে ১ ৩৯১ টাকার,2
২ লাখ ৪২ একর কৃষিজমির মালিক তিনি,2
আইপিওর ব্যাংকটি শেয়ারবাজার ১০০ টাকা সংগ্রহের আইপিওতে ১০ শেয়ার বিক্রি করে,2
এদিকে জুলাইয়ের সপ্তাহে সাউথ বাংলা ব্যাংকের আইপিওর চাঁদা গ্রহণে ১৪ গুণ আবেদন জমা পড়েছে,2
নিয়ম অনুযায়ী তালিকাভুক্ত কোম্পানির শেয়ারের দাম লেনদেনের দিনে সর্বোচ্চ ১০ শতাংশ বাড়তে পারে,2
কোম্পানিটি গণপ্রস্তাব আইপিওতে ১০ শেয়ার বিক্রি করেছে,2
"ডিএসইর তথ্য অনুযায়ী, ২০১৭ সালের নভেম্বরে ঢাকার বাজারে প্রধান সূচক ডিএসইএক্স সর্বোচ্চ ৬ ৩৩৭ পয়েন্টের রেকর্ড উচ্চতায় উঠেছিল",2
করোনা সংক্রমণের ঊর্ধ্বগতি ঠেকাতে আগামীকাল বৃহস্পতিবার পরবর্তী ৭ দিনের সর্বাত্মক লকডাউনে দেশ,2
সবচেয়ে সাড়া মিলেছে ২০০৭ ২০০৮ সালের তত্ত্বাবধায়ক সরকারের আমলে,2
ব্যাংক কর্তৃপক্ষ স্বয়ংক্রিয়ভাবে ১৫ শতাংশ ভ্যাট কেটে রাখেন,2
পরিপ্রেক্ষিতে গত ২৭ আগস্ট ব্যাংকগুলোকে সতর্ক থাকার চিঠি দেয়,2
উপলক্ষে প্রতিষ্ঠানটি ১ ৫০০ কর্মী নিয়োগ দিয়েছে,2
ডিএসই সূচকটি কমে ১৪৩ পয়েন্ট আড়াই শতাংশের বেশি,2
যুক্তরাষ্ট্রের ১৮টি অঙ্গরাজ্যে বিল গেটস মেলিন্ডা গেটসের মালিকানায় রয়েছে এসব কৃষিজমি,2
দেশে বর্তমানে নগদের গ্রাহকসংখ্যা ২ ১৯ লাখ,2
সমঝোতার দফায় অর্থাৎ ২০১৫ সালের ২২ সেপ্টেম্বরে সম্মিলিত পরিষদের সিদ্দিকুর রহমানের নেতৃত্বে কমিটি হয়,2
"রেস্তোরাঁ মালিক সমিতির তথ্য অনুযায়ী, বিভাগ, জেলা উপজেলা শহর মিলে হোটেল-রেস্তোরাঁর সংখ্যা ৬০ হাজার",2
হোটেল রেস্তোরাঁর জড়িত ৩০ লাখ শ্রমিক-কর্মচারী,2
বর্তমানে ৪৭টি স্বল্পোন্নত দেশ আছে,2
বাংলাদেশি মুদ্রায় বছরে ১ লাখ ৮৮ ৮৭৩ টাকা,2
একসঙ্গে ১১.১১ ১১ হিসেবেও পরিচিত,2
'জাতীয় ভোক্তা অধিকার সংরক্ষণ অধিদপ্তরের ইভ্যালির বিরুদ্ধে অভিযোগ ৬ ৭৪৭টি,2
এসব তথ্য জানাতে বাণিজ্য মন্ত্রণালয় গত ১৯ জুলাই কোম্পানিটিকে চিঠি দিয়েছিল,2
গতকাল এক দিনেই ৯১ পয়েন্ট কমে ডিএসইএক্স,2
"কৃষি সম্প্রসারণ অধিদপ্তরের (ডিএই) তথ্যানুযায়ী, বাংলাদেশে ফসল চাষ, সেচ, নিড়ানি কীটনাশক প্রয়োগে ৯৫ শতাংশ যান্ত্রিকীকরণ হয়েছে",2
বিকাশ গ্রাহকেরা ৮ ব্যাংকের বুথ টাকা তুলতে পারছেন,2
২০০৮ সালের মাসে দেশটির মূল্যস্ফীতি হয়েছিল ৫ দশমিক ৪ শতাংশ,2
"হিলি স্থলবন্দরের কাস্টম হাউসের ডেপুটি কমিশনার সাইদুল আলম বিকেলে আলোকে বলেন, গতকাল রোববার ভারত ১২৯টি পেঁয়াজ বোঝাই ট্রাক হিলি স্থলবন্দর দিয়ে বাংলাদেশে প্রবেশ করেছে",2
গতকাল সোমবার কমে ১২৮ পয়েন্ট সোয়া ২ শতাংশের বেশি,2
গত বছর সময়ে রিটার্নের কর পরিশোধ হয়েছিল ২ ৫৮০ টাকা,2
শেয়ারবাজারে লেনদেন চলবে সকাল ১০টা বেলা আড়াইটা পর্যন্ত,2
২০১০ সালের ডিসেম্বরে ব্যাপক ধস নামে শেয়ারবাজারে,2
বাকি ৪৯ শতাংশ শেয়ার বেসরকারি খাতের ব্যক্তি প্রতিষ্ঠানের হাতে,2
নগদের মুনাফার ৫১ শতাংশ পেত ডাক বিভাগ,2
গত কার্যদিবসে লেনদেন শেষে ডিএসইএক্স সূচক বাড়ে ৪৭ পয়েন্ট,2
১৯৮৮ সালে আদানি গ্রুপ প্রতিষ্ঠা গৌতম আদানি,2
২০১৯ সালে গ্রুপ বিমানবন্দরের ব্যবসায় নামে,2
চলতি বছরে কেবল ক্ষেত্র ছাড়া আদানি গোষ্ঠীর কটি ব্যবসার শেয়ারের মূল্য ৫০ শতাংশ হারে বেড়েছে,2
অপর শেয়ারবাজার চট্টগ্রাম স্টক এক্সচেঞ্জে (সিএসই) সার্বিক সূচক সিএএসপিআই বেড়েছে ৩৭৯ পয়েন্ট,2
দ্বিতীয় প্রান্তিকে বার্ষিক যুক্তরাষ্ট্রের জিডিপি সংকোচন হয়েছিল ৩১ দশমিক ৪ শতাংশ,2
তৃতীয় প্রান্তিকে প্রবৃদ্ধি হয়েছে ৩৩ দশমিক ১ শতাংশ—১৯৪৭ সালে প্রান্তিকের প্রবৃদ্ধির হিসাব হওয়ার এক প্রান্তিকের সর্বোচ্চ প্রবৃদ্ধি গেছে,2
গত জুলাই মার্চ মাস ৩৪১ শেয়ারবাজারে বিনিয়োগ সুযোগ নিয়েছেন,2
বছর ২৬ নভেম্বর রিটার্নের কর পরিশোধ হয়েছে ২ ৩৮৭ টাকা,2
৫ পাঁচ মাস ইথিওপিয়ান এয়ারলাইনসের বোয়িংয়ের মডেলের উড়োজাহাজ আকাশে উড়েছিল কেনিয়ার রাজধানী নাইরোবির উদ্দেশে,2
বন্ডের বিপরীতে বছরে ৪ দশমিক ৬৯ শতাংশ হারে মুনাফা দেবে সরকার,2
বাংলাদেশে মোবাইলের আর্থিক সেবার যাত্রা ২০১১ সালের মার্চে,2
করদাতাকে ২ শতাংশ জরিমানা হয়,2
প্রত্যক্ষ সুবিধাভোগী হলেন ৯৫ ৭৩৩ গ্রাহক,2
৯টি তহবিলের বাংলাদেশ ব্যাংক সরাসরি সম্পৃক্ত,2
কারণে চূড়ান্ত উৎপাদন ৩০-৪০ শতাংশ প্রক্রিয়াগত লোকসান হয়ে থাকে,2
"১২টি তহবিল বাস্তবায়ন বাংলাদেশ ব্যাংক, আকার এক লাখ টাকা",2
৮৩ ৫৩ টাকার তহবিল ইতিমধ্যে বাস্তবায়িত হয়েছে,2
"এমএফএস সেবাদাতা প্রতিষ্ঠানগুলো বলছে, মাশুল আদায় হয়, ৬০ শতাংশের এজেন্টদের হয়",2
বাস্তবায়নের হার প্যাকেজের ৮৩ শতাংশ,2
৩৫ কর্মী,2
অর্থাৎ ১৪ মাসে ১১ ডলার সম্পদ বেড়েছে তাঁর,2
এর ২০১০ সালের ৬ ডিসেম্বর ডিএসইতে ২ ৭১১ টাকার শেয়ার লেনদেন হয়,2
"বছরের মার্চ শহরাঞ্চলে দরিদ্র মানুষের সংখ্যা ৫৯ শতাংশ, গ্রামাঞ্চলে ৪৪ শতাংশ",2
আমাজনের মালিক বেজোসের সম্পদের পরিমাণ ১৭৭ বিলিয়ন ডলার,2
সারা দেশে ব্যাংকটির রয়েছে ১৩৮টি শাখা,2
বর্তমানে ৫২ লাখ ৭২ কর শনাক্তকরণ নম্বরধারী (টিআইএন) আছেন,2
গত ৩০ নভেম্বর ১৫ লাখের রিটার্ন দিয়েছেন,2
প্রতিবছর গড়ে ২০-২২ লাখ রিটার্ন জমা পড়ে,2
নির্ধারিত করের ওপর মাসিক ২ শতাংশ সুদ গুনতে হবে,2
"দেশটির সরকার ২০ লাখ রুপির আর্থিক প্যাকেজ ঘোষণা করেছে, অর্থনীতিবিদ রাজন",2
ছাড়া অতি ক্ষুদ্র সর্বোচ্চ ৩০ লাখ ক্ষুদ্র প্রতিষ্ঠান পাবে সর্বোচ্চ ৫০ লাখ টাকা ঋণ,2
"সরকারের ঘোষণা অনুযায়ী, চলমান বিধিনিষেধ ১০ আগস্ট শেষ হবে",2
জনগোষ্ঠীর ১ দশমিক ১ শতাংশ মানুষ কর দেন,2
শেয়ারবাজারে বর্তমানে মার্জিন ঋণের সুদহার সর্বোচ্চ ১৫ শতাংশের মধ্যে,2
ব্যাংক তিনটি পুরোপুরি ইসলামি ধারার কার্যক্রম দেশে ইসলামি ধারার ব্যাংকের সংখ্যা বেড়ে দাঁড়াবে ১১টিতে,2
গত সেপ্টেম্বর ঋণ ১৫ ৭৮৯ টাকা,2
স্ট্যান্ডার্ড ব্যাংকের ৭ লাখ গ্রাহক,2
এরপর চলতি সপ্তাহের কার্যদিবসে ২ ৬৬৯ টাকার লেনদেন হয়,2
১০০ গিগাবাইটের জরুরি তথ্য ছিনিয়ে নেয় সাইবার হামলাকারীরা,2
' ১৯৬৭ সালে তৎকালীন পূর্ব পাকিস্তানে এক নম্বর করদাতা হয়েছিলেন কাউছ মিয়া,2
"২০১৯ সালে এনবিআরের এক অনুষ্ঠানে বলেছিলেন, 'আগে টাকাপয়সা এখানে-সেখানে রাখতাম",2
৪৪ লাখ মার্কিন ডলারের বিনিময়ে কলোনিয়াল পাইপলাইনের নিয়ন্ত্রণ নেয় যুক্তরাষ্ট্র কর্তৃপক্ষ,2
৬,2
৫,2
৪,2
৩,2
প্রবাসী আয় বাড়াতে ২০১৯-২০ অর্থবছর ২ শতাংশ প্রণোদনা সরকার,2
২,2
আগস্টের দামের বছরের শেষে দাম কমেছে ১৫ শতাংশ,2
বৈধ পথে প্রবাসী আয় বাড়াতে ২০১৯-২০ অর্থবছরের বাজেটে ২ শতাংশ হারে প্রণোদনা ঘোষণা সরকার,2
"অনুযায়ী, ১ জুলাই প্রবাসীরা ১০০ টাকার বিপরীতে ২ টাকা প্রণোদনা পাচ্ছেন",2
গ্রুপের অধীনে রয়েছে ২৬টি কোম্পানি,2
বুক বিল্ডিং পদ্ধতির দর প্রস্তাবে এটির শেয়ারের দাম নির্ধারিত হয়েছে ৬০ টাকা,2
অপর শেয়ারবাজার চট্টগ্রাম স্টক এক্সচেঞ্জের (সিএসই) সার্বিক সূচক গতকাল হারায় ৩৯৭ পয়েন্ট আড়াই শতাংশ পয়েন্ট,2
ঢাকার বাজারে কেজি দেশি পেঁয়াজ জাত আকারভেদে ৬০ ৭০ টাকা ভারতীয় পেঁয়াজ ৫০ ৫৫ টাকা কেজি দরে বিক্রি হচ্ছে,2
১৯৩৭ সালে বর্তমান মুম্বাইয়ে জন্মগ্রহণ রতন টাটা,2
"অভিযোগ উঠেছে, প্রেসিডেন্ট ট্রাম্প গত ১৫ বছরের ১০ বছর মোটেও আয়কর দেননি",2
লেনদেন ২ ২৬৮ ৮৮ লাখ টাকার,2
এর গত কার্যদিবসে সূচক ১০১ পয়েন্ট বাড়ে ডিএসইতে,2
৩০ সেপ্টেম্বর রপ্তানিই নিষিদ্ধ দেয় দেশটি,2
ভারত বাজার সামাল গত বছর ১৩ সেপ্টেম্বর পেঁয়াজ রপ্তানিতে ন্যূনতম মূল্য টনপ্রতি ৮৫০ ডলার বেঁধে দেয়,2
ব্যাংককর্মীদের করোনায় আক্রান্ত হয়ে মারা সিটি ব্যাংকের মানবসম্পদ বিভাগের ফার্স্ট ভাইস প্রেসিডেন্ট মুজতবা শাহরিয়ার (৪০),2
লেনদেন শেষে সূচকটির অবস্থান ৬ ৫০ পয়েন্ট,2
আক্রান্তের দিক দিয়ে শীর্ষে স্ট্যান্ডার্ড চার্টার্ড ব্যাংকের ৪৯৯ কর্মকর্তা,2
দেশে গত বছর নভেম্বরে পেঁয়াজের কেজিপ্রতি দাম ৩০০ টাকা উঠেছিল,2
এক মাস আগেও দেশি পেঁয়াজ কেজিপ্রতি ৪০ ৪৫ টাকা ভারতীয় পেঁয়াজ ৩০-৩৫ টাকার ছিল,2
"প্রজ্ঞাপনে হয়, বাংলাদেশ ব্যাংকের গত ১৩ এপ্রিল জারি প্রজ্ঞাপনের প্রদত্ত নির্দেশনাবলি অপরিবর্তিত থাকবে",2
২০ একর জমির ওপর ২০১৭ সালের অক্টোবরে প্রদর্শনী কেন্দ্রের নির্মাণকাজ হয়,2
"বেসরকারি গবেষণা সংস্থা সানেম জরিপ বলছে, ৪২ শতাংশ মানুষ দরিদ্র",2
পরিমাণে ৮০০ টন,2
৯ বর্গফুট আয়তনের ৮০০টি স্টল রয়েছে,2
বয়স হয়েছিল ৮০ বছর,2
২০২০ সালে ব্যয় বেড়েছে সবচেয়ে বেশি,2
পরের বছর বেড়ে ৩০৮ টনে দাঁড়ায়,2
২০১৯ সালে যথাক্রমে ৬ দশমিক ৫০ শতাংশ ৬ দশমিক শূন্য ৮ শতাংশ,2
"ন্যাশনাল ট্যাক্স জার্নালে প্রকাশিত এক সমীক্ষায় গেছে, শীর্ষস্থানীয় আমেরিকান করদাতাদের ১ শতাংশের অপ্রদর্শিত আয়ের ৩৪ শতাংশ রয়েছে",2
আগের বছর ৬ শতাংশ ৫ দশমিক ১৯ শতাংশ,2
অপ্রদর্শিত অর্থ বৈধ সুযোগ নেয় ৩২ ৫৫৮ ব্যক্তি প্রতিষ্ঠান,2
শাহপরীর দ্বীপ করিডর ২০০৩ সালে,2
২০১৮ সালের ২৯ মার্চ সর্বশেষ ব্যাংকগুলো এভাবে টাকা হয়েছিল,2
